timestamp,time_s,cpu_run_util,mem_run_util,cpu_req_util,mem_req_util,running_p1,running_p2,running_p3,running_p4,unsched_p1,unsched_p2,unsched_p3,unsched_p4,deletions_cum_p1,deletions_cum_p2,deletions_cum_p3,deletions_cum_p4
2026/01/26/20:11:58,2.327331,0.181625,0.233309,0.186312,0.236490,9,9,4,3,1,0,0,0,0,0,0,0
2026/01/26/20:11:59,3.327496,0.257063,0.314555,0.257063,0.314555,12,13,10,3,0,0,0,0,0,0,0,0
2026/01/26/20:12:00,4.327581,0.324250,0.372510,0.329125,0.376197,17,14,11,4,0,0,1,0,0,0,0,0
2026/01/26/20:12:01,5.327665,0.417187,0.454092,0.432250,0.464175,18,17,16,7,0,0,1,0,0,0,0,0
2026/01/26/20:12:02,6.327809,0.513625,0.526738,0.524687,0.550803,19,20,19,10,1,0,0,0,0,0,0,0
2026/01/26/20:12:03,7.327923,0.620500,0.643801,0.631188,0.649394,25,23,21,11,0,0,0,1,0,0,0,0
2026/01/26/20:12:04,8.328001,0.696125,0.729328,0.696125,0.729328,28,26,23,15,0,0,0,0,0,0,0,0
2026/01/26/20:12:05,9.328084,0.692813,0.727973,0.714875,0.802257,28,25,24,15,0,1,4,0,0,1,0,0
2026/01/26/20:12:06,10.328160,0.692813,0.727973,0.812875,0.865411,28,25,24,15,0,3,8,4,0,1,0,0
2026/01/26/20:12:07,11.328259,0.692813,0.727973,0.816937,0.868635,28,25,24,15,1,3,8,4,0,1,0,0
2026/01/26/20:12:08,12.328328,0.818063,0.873223,0.818063,0.873223,29,28,33,19,0,0,0,0,2,1,0,0
2026/01/26/20:12:09,13.328500,0.832000,0.894555,0.832000,0.894555,32,28,33,19,0,0,0,0,2,1,0,0
2026/01/26/20:12:10,14.328669,0.832000,0.894555,0.832000,0.894555,32,28,33,19,0,0,0,0,2,1,0,0
2026/01/26/20:12:11,15.328823,0.832000,0.894555,0.832000,0.894555,32,28,33,19,0,0,0,0,2,1,0,0
2026/01/26/20:12:12,16.328953,0.832000,0.894555,0.832000,0.894555,32,28,33,19,0,0,0,0,2,1,0,0
2026/01/26/20:12:13,17.329041,0.824250,0.880543,0.824250,0.880543,30,28,33,19,0,0,0,0,4,1,0,0
2026/01/26/20:12:14,18.329149,0.824250,0.880543,0.824250,0.880543,30,28,33,19,0,0,0,0,4,1,0,0
2026/01/26/20:12:15,19.329226,0.824250,0.880543,0.824250,0.880543,30,28,33,19,0,0,0,0,4,1,0,0
2026/01/26/20:12:16,20.329335,0.824250,0.880543,0.824250,0.880543,30,28,33,19,0,0,0,0,4,1,0,0
2026/01/26/20:12:17,21.329473,0.824250,0.880543,0.824250,0.880543,30,28,33,19,0,0,0,0,4,1,0,0
2026/01/26/20:12:18,22.329587,0.824250,0.880543,0.880375,0.942659,30,28,33,19,4,1,0,2,4,1,0,0
2026/01/26/20:12:19,23.329675,0.824250,0.880543,0.880375,0.942659,30,28,33,19,4,1,0,2,4,1,0,0
2026/01/26/20:12:20,24.329764,0.824250,0.880543,0.853437,0.922633,30,28,33,19,3,1,0,2,4,1,0,0
2026/01/26/20:12:21,25.329867,0.843750,0.919009,0.843750,0.919009,33,28,33,21,0,0,0,0,8,1,0,0
2026/01/26/20:12:22,26.329955,0.843750,0.919009,0.843750,0.919009,33,28,33,21,0,0,0,0,8,1,0,0
2026/01/26/20:12:23,27.330050,0.843750,0.919009,0.843750,0.919009,33,28,33,21,0,0,0,0,8,1,0,0
2026/01/26/20:12:24,28.330163,0.843750,0.919009,0.843750,0.919009,33,28,33,21,0,0,0,0,8,1,0,0
2026/01/26/20:12:25,29.330256,0.843750,0.919009,0.843750,0.919009,33,28,33,21,0,0,0,0,8,1,0,0
2026/01/26/20:12:26,30.330316,0.826688,0.842019,0.826688,0.842019,33,28,33,18,0,0,0,0,8,1,0,3
2026/01/26/20:12:27,31.330522,0.826688,0.842019,0.826688,0.842019,33,28,33,18,0,0,0,0,8,1,0,3
2026/01/26/20:12:28,32.330601,0.826688,0.842019,0.826688,0.842019,33,28,33,18,0,0,0,0,8,1,0,3
2026/01/26/20:12:29,33.330711,0.826688,0.842019,0.826688,0.842019,33,28,33,18,0,0,0,0,8,1,0,3
2026/01/26/20:12:30,34.330796,0.830438,0.854247,0.830438,0.854247,33,29,33,18,0,0,0,0,8,1,0,3
2026/01/26/20:12:31,35.330882,0.839063,0.904182,0.845938,0.920874,32,33,33,18,0,1,0,0,11,1,0,3
2026/01/26/20:12:32,36.334411,0.830937,0.897732,0.837812,0.914424,30,33,33,18,0,1,0,0,13,1,0,3
2026/01/26/20:12:33,37.334512,0.830937,0.897732,0.837812,0.914424,30,33,33,18,0,1,0,0,13,1,0,3
2026/01/26/20:12:34,38.334664,0.826187,0.900320,0.826187,0.900320,30,34,30,18,0,0,0,0,14,1,3,3
2026/01/26/20:12:35,39.334740,0.816125,0.863869,0.816125,0.863869,30,32,30,18,0,0,0,0,14,3,3,3
2026/01/26/20:12:36,40.334818,0.816125,0.863869,0.816125,0.863869,30,32,30,18,0,0,0,0,14,3,3,3
2026/01/26/20:12:37,41.334913,0.808625,0.856543,0.808625,0.856543,30,32,30,16,0,0,0,0,14,3,3,5
2026/01/26/20:12:38,42.334989,0.808625,0.856543,0.808625,0.856543,30,32,30,16,0,0,0,0,14,3,3,5
2026/01/26/20:12:39,43.335065,0.808625,0.856543,0.808625,0.856543,30,32,30,16,0,0,0,0,14,3,3,5
2026/01/26/20:12:40,44.335178,0.808625,0.856543,0.808625,0.856543,30,32,30,16,0,0,0,0,14,3,3,5
2026/01/26/20:12:41,45.335278,0.782000,0.841379,0.782000,0.841379,30,30,30,16,0,0,0,0,14,5,3,5
2026/01/26/20:12:42,46.335358,0.782000,0.841379,0.782000,0.841379,30,30,30,16,0,0,0,0,14,5,3,5
2026/01/26/20:12:43,47.335467,0.782000,0.841379,0.782000,0.841379,30,30,30,16,0,0,0,0,14,5,3,5
2026/01/26/20:12:44,48.335524,0.782000,0.841379,0.782000,0.841379,30,30,30,16,0,0,0,0,14,5,3,5
2026/01/26/20:12:45,49.335626,0.782000,0.841379,0.782000,0.841379,30,30,30,16,0,0,0,0,14,5,3,5
2026/01/26/20:12:46,50.335729,0.775250,0.801168,0.775250,0.801168,28,30,30,16,0,0,0,0,16,5,3,5
2026/01/26/20:12:47,51.335804,0.775250,0.801168,0.775250,0.801168,28,30,30,16,0,0,0,0,16,5,3,5
2026/01/26/20:12:48,52.335879,0.775250,0.801168,0.775250,0.801168,28,30,30,16,0,0,0,0,16,5,3,5
2026/01/26/20:12:49,53.336003,0.775250,0.801168,0.775250,0.801168,28,30,30,16,0,0,0,0,16,5,3,5
2026/01/26/20:12:50,54.336094,0.775250,0.801168,0.775250,0.801168,28,30,30,16,0,0,0,0,16,5,3,5
2026/01/26/20:12:51,55.336252,0.775250,0.801168,0.775250,0.801168,28,30,30,16,0,0,0,0,16,5,3,5
2026/01/26/20:12:52,56.336406,0.768750,0.788518,0.768750,0.788518,28,28,30,16,0,0,0,0,16,7,3,5
2026/01/26/20:12:53,57.336488,0.768750,0.788518,0.768750,0.788518,28,28,30,16,0,0,0,0,16,7,3,5
2026/01/26/20:12:54,58.336612,0.768750,0.788518,0.768750,0.788518,28,28,30,16,0,0,0,0,16,7,3,5
2026/01/26/20:12:55,59.336694,0.768750,0.788518,0.768750,0.788518,28,28,30,16,0,0,0,0,16,7,3,5
2026/01/26/20:12:56,60.336869,0.758062,0.767413,0.758062,0.767413,28,25,30,16,0,0,0,0,16,10,3,5
2026/01/26/20:12:57,61.336977,0.758062,0.767413,0.758062,0.767413,28,25,30,16,0,0,0,0,16,10,3,5
2026/01/26/20:12:58,62.337115,0.758062,0.767413,0.758062,0.767413,28,25,30,16,0,0,0,0,16,10,3,5
2026/01/26/20:12:59,63.337252,0.758062,0.767413,0.758062,0.767413,28,25,30,16,0,0,0,0,16,10,3,5
2026/01/26/20:13:00,64.337401,0.758062,0.767413,0.758062,0.767413,28,25,30,16,0,0,0,0,16,10,3,5
2026/01/26/20:13:01,65.337496,0.758062,0.767413,0.758062,0.767413,28,25,30,16,0,0,0,0,16,10,3,5
2026/01/26/20:13:02,66.337641,0.758062,0.767413,0.758062,0.767413,28,25,30,16,0,0,0,0,16,10,3,5
2026/01/26/20:13:03,67.337722,0.766188,0.823711,0.766188,0.823711,30,25,30,16,0,0,0,0,16,10,3,5
2026/01/26/20:13:04,68.337818,0.766188,0.823711,0.766188,0.823711,30,25,30,16,0,0,0,0,16,10,3,5
2026/01/26/20:13:05,69.337923,0.758062,0.767413,0.758062,0.767413,28,25,30,16,0,0,0,0,18,10,3,5
2026/01/26/20:13:06,70.338002,0.758062,0.767413,0.758062,0.767413,28,25,30,16,0,0,0,0,18,10,3,5
2026/01/26/20:13:07,71.338247,0.754812,0.758730,0.754812,0.758730,28,25,29,16,0,0,0,0,18,10,4,5
2026/01/26/20:13:08,72.338329,0.754812,0.758730,0.754812,0.758730,28,25,29,16,0,0,0,0,18,10,4,5
2026/01/26/20:13:09,73.338401,0.754812,0.758730,0.754812,0.758730,28,25,29,16,0,0,0,0,18,10,4,5
2026/01/26/20:13:10,74.338500,0.754812,0.758730,0.754812,0.758730,28,25,29,16,0,0,0,0,18,10,4,5
2026/01/26/20:13:11,75.338602,0.754812,0.758730,0.754812,0.758730,28,25,29,16,0,0,0,0,18,10,4,5
2026/01/26/20:13:12,76.338692,0.754812,0.758730,0.754812,0.758730,28,25,29,16,0,0,0,0,18,10,4,5
2026/01/26/20:13:13,77.338774,0.754812,0.758730,0.754812,0.758730,28,25,29,16,0,0,0,0,18,10,4,5
2026/01/26/20:13:14,78.338857,0.754812,0.758730,0.754812,0.758730,28,25,29,16,0,0,0,0,18,10,4,5
2026/01/26/20:13:15,79.338938,0.754812,0.758730,0.754812,0.758730,28,25,29,16,0,0,0,0,18,10,4,5
2026/01/26/20:13:16,80.339053,0.754812,0.758730,0.754812,0.758730,28,25,29,16,0,0,0,0,18,10,4,5
2026/01/26/20:13:17,81.339138,0.754812,0.758730,0.754812,0.758730,28,25,29,16,0,0,0,0,18,10,4,5
2026/01/26/20:13:18,82.339270,0.754812,0.758730,0.754812,0.758730,28,25,29,16,0,0,0,0,18,10,4,5
2026/01/26/20:13:19,83.339358,0.754812,0.758730,0.754812,0.758730,28,25,29,16,0,0,0,0,18,10,4,5
2026/01/26/20:13:20,84.339446,0.754812,0.758730,0.754812,0.758730,28,25,29,16,0,0,0,0,18,10,4,5
2026/01/26/20:13:21,85.339531,0.754812,0.758730,0.754812,0.758730,28,25,29,16,0,0,0,0,18,10,4,5
2026/01/26/20:13:22,86.339696,0.754812,0.758730,0.754812,0.758730,28,25,29,16,0,0,0,0,18,10,4,5
